Annote   Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Input    Pattern
      76     0.51    -8.54    74.88    76.75     1.51    -1.25      132     0.09      0.1     97.5    -9.06       63
      77     3.39    -7.06    50.73    64.05    -5.17    -0.62     -107     0.02      0.1     12.5     0.51      105
      78     1.11    -7.25    65.77    54.17     6.76     1.25     -108        0     0.19   -107.5     3.39     -130
      79    -1.55     -9.1    62.58    52.04     6.14    -0.42       52    -0.04     0.17      -28     1.11      -88
      80    -0.11    -9.21    61.21    55.45    -0.64    -0.73       63    -0.03        0     57.5    -1.55       46
      81    -7.93    -9.43    30.87    25.47   -10.64    -1.46      105    -0.06    -0.09       84    -0.11       35
      82   -19.36    -9.64     26.1     8.61   -12.14     -2.5     -130     -0.1    -0.18    -12.5    -7.93      104
      83     6.56    -7.68    62.56    72.89    12.82    -2.29      -88        0     0.08     -109   -19.36     -119
      84     5.98    -6.33     47.5    80.39     2.74    -1.87       46     0.13     0.09      -21     6.56     -106
      85     5.71    -4.97    27.52    69.59   -11.61        0       35     0.09     0.01     40.5     5.98       64
      86     2.95    -7.53    42.48     67.2     -9.3      0.1      104     0.01     0.09     69.5     5.71       69
      87     2.48    -7.53    51.42    69.96    -1.78     0.31     -119     0.02      0.1     -7.5     2.95      161
      88     6.92    -7.53    64.71    82.15     3.32      0.1     -106     0.08     0.01   -112.5     2.48     -110
      89    11.06    -4.97    77.05    94.43    12.91    -0.31       64     0.12     0.02      -21     6.92     -120
      90     8.43    -2.41    79.31    84.29    14.73     0.31       69     0.02    -0.07     66.5    11.06       51
      91    18.79     8.92   114.81       99    22.99    -0.42      161     0.28    -0.03      115     8.43       62
      92     5.39     8.92    55.64    71.56     7.41     0.73     -110     0.09     0.05     25.5    18.79      106
      93     4.76     8.92    58.55    65.64    10.62    -0.42     -120    -0.14     0.14     -115     5.39     -125
      94     4.35     0.15    58.32    57.95     5.61    -1.35       51    -0.15     0.13    -34.5     4.76     -121
      95        4     0.15    67.84    38.66     6.22    -0.62       62    -0.06    -0.13     56.5     4.35       76
      96     1.82    -0.95     23.1     9.74   -14.27    -1.14      106    -0.13    -0.15       84        4       77
      97      0.2    -3.18     36.8     20.4   -11.15    -1.04     -125    -0.09    -0.16     -9.5     1.82      122
      98    12.85    -3.18   103.32    96.34    26.61     0.83     -121      0.3    -0.05     -123      0.2     -113
      99    13.87    -2.07   104.11    93.53    29.22     0.73       76     0.12    -0.05    -22.5    12.85     -114
     100    13.14     0.15    95.49    93.34    27.91     1.25       77     0.01    -0.05     76.5    13.87       61
     101    10.59     0.15    69.45    88.85    11.28     1.04      122    -0.08    -0.16     99.5    13.14       56
     102     9.52     0.15       80    86.18    15.47      0.1     -113    -0.03    -0.07      4.5    10.59      110
     103    11.27     0.15    67.75    98.25     7.96     0.52     -114     0.03    -0.09   -113.5     9.52     -129
     104     9.21     0.15    52.81    80.58    -1.87     0.83       61    -0.01    -0.11    -26.5    11.27     -131
     105     8.64     0.15    53.45    81.48    -1.73     0.94       56     0.04    -0.17     58.5     9.21       50
     106     4.98     0.15    45.64    54.83    -3.84     1.46      110     0.02    -0.07       83     8.64       56
     107     0.87     0.15    32.32    30.27    -9.35     1.04     -129    -0.04    -0.07     -9.5     4.98      118
     108     1.97     0.15     35.7    52.17    -6.73     0.73     -131    -0.04    -0.07     -130     0.87     -110
     109     6.16     0.15    58.67    80.84     2.48     1.14       50     0.02     0.03    -40.5     1.97     -114
     110     7.06    -2.62    51.11    72.95    -2.34     -0.1       56    -0.01    -0.08       53     6.16       53
     111     1.81     -5.4    51.44    50.48    -3.25    -1.45      118    -0.05    -0.01       87     7.06       53
     112     2.36    -8.17    69.68    61.92      4.1    -1.04     -110    -0.06    -0.02        4     1.81      118
     113    -2.96    -8.17    54.12     40.9     1.51    -1.97     -114    -0.12     0.07     -112     2.36     -103
     114    -3.62    -8.17    41.52    31.74    -4.39    -2.49       53    -0.11    -0.03    -30.5    -2.96     -108
     115     4.72     -5.4    65.11    77.42     5.86    -1.35       53     0.01    -0.03       53    -3.62       64
     116     7.94    -2.62    69.79     61.8     7.12        0      118     0.02    -0.03     85.5     4.72       53
     117     6.01     0.15    62.18    83.71    -1.74    -1.14     -103     0.02     0.06      7.5     7.94      142
     118     3.26     0.15    54.31    41.01    -6.77      0.1     -108    -0.01     0.05   -105.5     6.01     -107
     119     2.83     0.15    57.18    53.26    -4.69      0.1       64     0.02    -0.03      -22     3.26     -116
     120    -0.44     0.15    31.58    38.31   -16.07        0       53    -0.01     0.06     58.5     2.83       52
     121    15.97     8.48    95.63    95.93    11.34     -0.1      142     0.77     0.13     97.5    -0.44       51
     122    13.46    16.42    53.04    94.69     -8.4     0.62     -107     0.27    -0.03     17.5    15.97      107
     123    12.44    23.99    38.48    95.31   -19.94     0.62     -116     0.22    -0.08   -111.5    13.46     -119
     124    11.35    22.91    32.02    93.68   -24.82     -0.1       52     0.14    -0.15      -32    12.44     -109
     125     9.35    20.53    30.69    87.38    -42.2    -0.31       51     0.03    -0.13     51.5    11.35       66
     126     8.24    16.95     40.7    84.55   -42.64    -0.83      107    -0.01    -0.04       79     9.35       66
     127     9.21    13.55    33.93    99.85   -29.35    -2.08     -119      0.1    -0.04       -6     8.24      122
     128     9.29     11.7    28.24    98.99   -34.15    -2.91     -109     0.05     0.05     -114     9.21     -126
     129     7.88    10.08    25.69    92.67   -31.75    -1.87       66    -0.07     0.12    -21.5     9.29     -128
     130     7.39     8.61    45.39    94.28   -19.67    -0.62       66    -0.12      0.2       66     7.88       36
     131     6.54     7.29    55.03    87.53    -5.85     0.21      122    -0.23     0.26       94     7.39       22
     132      4.7     6.06    22.91    75.04   -14.54     0.62     -126     -0.3     0.16       -2     6.54      120
     133     5.62     3.68    55.01    87.48     5.28     1.25     -128    -0.12     0.08     -127      4.7     -119
     134    -3.94      1.3     41.8    40.79     -9.7     0.73       36    -0.74    -0.01      -46     5.62     -107
     135     2.63    -5.11    85.39    58.52    28.85     3.42       22    -0.49     0.11       29    -3.94       60
     136    -0.32   -10.66    92.07    65.61    30.83     3.42      120     0.09     0.18       71     2.63       74
     137     6.35   -14.58    85.82    90.63    26.55     3.42     -119     0.14     0.11      0.5    -0.32      133
     138     9.16   -13.24    86.66    92.11    23.74     0.62     -107     0.16     0.12     -113     6.35      -98
     139     9.85    -11.6    75.96    93.67    17.47     0.31       60     0.16     0.13    -23.5     9.16     -118
     140    12.72    -9.77     95.9    99.94    19.08     0.41       74     0.22    -0.03       67     9.85       49
     141    13.22    -5.85    87.55    96.03    14.93     0.93      133     0.17    -0.09    103.5    12.72       43
     142    12.35    -1.93    76.32    97.83    12.33     0.62      -98     0.09    -0.15     17.5    13.22      100
     143     6.27    -2.07    52.71    76.79    -0.59     0.72     -118     0.01    -0.13     -108    12.35     -129
     144     7.14    -6.51    35.82    73.92   -10.79     0.31       49    -0.03    -0.03    -34.5     6.27     -121
     145     3.09   -10.95    28.76    56.22   -12.45     -0.1       43    -0.09    -0.11       46     7.14       63
     146     2.54   -13.17     29.6    63.41   -13.32      0.1      100    -0.09     0.11     71.5     3.09       80
     147     1.76   -13.17    39.24    60.41    -7.09        0     -129    -0.12    -0.02    -14.5     2.54      152
     148     3.14   -11.11    52.08    55.81     1.42     -0.1     -121    -0.12    -0.05     -125     1.76      -80
     149     8.73    -6.67    82.87    96.18    17.78      0.1       63     0.04     0.04      -29     3.14     -145
     150    15.93    -2.22   107.89    95.01    24.39     -0.1       80     0.11     0.03     71.5     8.73       30
     151    18.27     2.71   115.76    99.88    31.03    -0.72      152     0.18     0.03      116    15.93       38
     152    18.15     7.84   118.12    96.65    31.48    -0.93      -80     0.16     0.11       36    18.27      104
     153   -12.07    10.61    30.49    14.31    -1.69    -1.03     -145    -0.38    -0.11   -112.5    18.15     -115
     154   -13.49    13.61    31.78    19.66   -11.13    -1.65       30    -0.19    -0.12    -57.5   -12.07     -110
     155     -8.9    14.04    36.57    30.94    -8.26    -1.24       38    -0.09    -0.14       34   -13.49       72
     156    -5.45    16.82     35.6    31.06    -9.09    -1.34      104    -0.05    -0.22       71     -8.9       72
     157    -5.17    16.82    50.32    38.84    -5.66    -1.03     -115    -0.01    -0.13     -5.5    -5.45      130
     158    -5.33    13.82    66.35    34.03     2.29      0.1     -110    -0.01     -0.2   -112.5    -5.17     -110
     159    -4.03     8.27    77.22    48.38    10.38     0.41       72     0.05    -0.11      -19    -5.33     -115
     160    -0.78     0.33    72.81    63.89        6     0.41       72     0.08    -0.01       72    -4.03       57
     161     1.52     -4.6    73.91    63.89     7.15     0.72      130     0.06     0.07      101    -0.78       61
     162    -1.27    -6.98    65.68    64.61     4.28     3.41     -110     0.03     0.07       10     1.52      122
     163    -6.57    -6.98    62.42    45.18     5.43     3.62     -115    -0.01     0.14   -112.5    -1.27     -101
     164    -5.59    -6.98    61.52    59.31     4.82      3.1       57     0.02     0.04      -29    -6.57     -103
     165     1.92     -4.6    72.13    85.72    11.42     2.89       61     0.09     0.25       59    -5.59       87
     166     4.29    -2.22    69.53       83      9.7     2.79      122     0.08     0.18     91.5     1.92       84
     167    13.26     0.15    79.86      100     4.22     0.72     -101     0.21      0.3     10.5     4.29      128
     168     9.15     0.15       64    67.59    -4.86     0.21     -103     0.11     0.22     -102    13.26     -133
     169    17.55     7.84   117.49      100    28.56    -0.52       87     0.19     0.33       -8     9.15     -137
     170    16.04    15.53    82.56    95.65    10.18    -0.41       84     0.09     0.33     85.5    17.55       44
     171    12.93    23.23     51.7    81.56    -4.21    -0.31      128     0.04     0.25      106    16.04       44
     172     9.66     20.3    32.51    71.56   -15.63     0.21     -133     0.03     0.08     -2.5    12.93      107
     173      7.9    14.83    24.27    60.87   -19.17     1.24     -137    -0.01    -0.01     -135     9.66     -126
     174     4.84     5.05    20.48    64.25   -22.18     1.24       44        0    -0.02    -46.5      7.9     -118
     175     3.98    -3.87    33.56       61   -19.57     1.03       44     0.01    -0.09       44     4.84       63
     176     2.91   -12.34    31.75       54    -13.8     1.03      107    -0.01     -0.1     75.5     3.98       67
     177     2.63   -18.59    39.02    53.69   -10.18     0.93     -126    -0.02     -0.1     -9.5     2.91      122
     178     4.68   -22.76    50.54    67.31    -7.92     0.52     -118     0.01    -0.03     -122     2.63     -117
     179     6.62   -23.18    52.03     72.5    -7.12     0.31       63        0    -0.05    -27.5     4.68     -127
     180     6.44   -19.61       63    76.25     1.18     0.83       67    -0.01     0.03       65     6.62       86
     181     3.23   -13.84    60.42     56.5     3.46     0.72      122    -0.11    -0.08     94.5     6.44       60
     182     0.33    -7.17    63.26       57     5.99     0.62     -117    -0.11     -0.1      2.5     3.23       60
     183    -3.47    -2.41    50.52    25.81     6.57        0     -127    -0.19    -0.12     -122     0.33       60
     184     6.01     0.15    57.77    68.47    -6.78     0.62       86      0.2    -0.02    -20.5    -3.47       60
     185     7.17     0.15     42.4    68.53   -13.55     0.51       60     0.08    -0.09       73     6.01       60
