day     BD100    price1   price2   index1D  index2D  line     streng   utilD    transpD
49      2940    40.79    49.84     9.75    -4.01    92.66    74.44    22.09    -2.29
50      3005    40.93    49.92     6.46    -1.93    86.84    74.78    20.55    -2.39
51      3022    40.38    49.95    20.04     0.15   146.43      100    35.22     1.87
52      3004    41.35    49.88     -3.3     0.15    49.76    39.44      3.2     1.35
53      2882    41.31    49.81   -11.41     3.18    55.68      8.1        8     1.15
54      2923    41.21    49.71   -21.73     9.24    45.09     3.81     6.79     0.62
55      2968    41.15    49.59   -20.19    18.33    57.98       24    12.17     0.73
56      3068    41.09    49.45   -11.74    24.39    59.73     29.8    12.73     0.31
57      2948       41     49.4   -11.62    27.42    58.56    34.12     9.99     0.52
58      2871    41.35    49.44    20.33    27.59    121.4    97.57     20.5        0
59      2920     41.2    49.46    -1.62    15.16    22.63     1.12   -17.24    -0.21
60      2966     41.1     49.4    -4.32     1.63    21.43    15.15   -21.41        0
61      3070    41.09    49.34    -1.72   -13.18    32.21    46.61   -21.12    -0.42
62      2962    41.09    49.27     0.49   -14.44    43.88    46.54   -20.65     0.31
63      2859     41.1    49.25    -2.69   -13.57    45.62    46.39   -15.72     0.52
64      2925    41.02    49.31    -8.85   -11.71    42.02    26.51   -19.63     1.56
65      2991       41    49.37    -6.55   -10.96    59.46    46.03    -6.89     1.98
66      3109    41.05    49.27    -5.06   -11.39     54.3    45.96    -1.48     1.25
67      3001    41.19    49.19     3.02   -11.69    74.49    72.24    10.54     0.83
68      2885    41.22     49.2    -1.87   -13.18    57.18    50.61     1.49     -0.1
69      2947    41.25    49.22    -7.19   -14.73    66.94    40.79     7.56    -1.66
70      2993    41.16    49.21   -15.96   -16.53    33.62     7.74    -6.94    -2.18
71      3094    41.06    49.44   -17.28   -17.26    27.42    14.29   -15.29    -1.97
72      2962    41.14     49.7    -5.72   -17.76    33.97    56.25   -14.29    -2.18
73      2844    41.14    49.79    -5.84   -16.73    31.97    43.61   -18.64    -2.81
74      2899    41.17    49.88    -5.38      -14     35.9    50.51   -19.59    -2.91
75      2962    41.17    49.97    -9.06   -11.45    56.55    35.01    -6.99    -2.29
76      3094    41.26    50.07     0.51    -8.54    74.88    76.75     1.51    -1.25
77      2987    41.28    50.17     3.39    -7.06    50.73    64.05    -5.17    -0.62
78      2879    41.28    50.36     1.11    -7.25    65.77    54.17     6.76     1.25
79      2931    41.24    50.53    -1.55     -9.1    62.58    52.04     6.14    -0.42
80      2994    41.21    50.53    -0.11    -9.21    61.21    55.45    -0.64    -0.73
81      3099    41.15    50.44    -7.93    -9.43    30.87    25.47   -10.64    -1.46
82      2969    41.05    50.26   -19.36    -9.64     26.1     8.61   -12.14     -2.5
83      2881    41.05    50.34     6.56    -7.68    62.56    72.89    12.82    -2.29
84      2927    41.18    50.43     5.98    -6.33     47.5    80.39     2.74    -1.87
85      2962    41.27    50.44     5.71    -4.97    27.52    69.59   -11.61        0
86      3066    41.28    50.53     2.95    -7.53    42.48     67.2     -9.3      0.1
87      2947     41.3    50.63     2.48    -7.53    51.42    69.96    -1.78     0.31
88      2841    41.38    50.64     6.92    -7.53    64.71    82.15     3.32      0.1
89      2905     41.5    50.66    11.06    -4.97    77.05    94.43    12.91    -0.31
90      2974    41.52    50.59     8.43    -2.41    79.31    84.29    14.73     0.31
91      3135     41.8    50.56    18.79     8.92   114.81       99    22.99    -0.42
92      3025    41.89    50.61     5.39     8.92    55.64    71.56     7.41     0.73
93      2905    41.75    50.75     4.76     8.92    58.55    65.64    10.62    -0.42
94      2956     41.6    50.88     4.35     0.15    58.32    57.95     5.61    -1.35
95      3018    41.54    50.75        4     0.15    67.84    38.66     6.22    -0.62
96      3124    41.41     50.6     1.82    -0.95     23.1     9.74   -14.27    -1.14
97      2999    41.32    50.44      0.2    -3.18     36.8     20.4   -11.15    -1.04
98      2878    41.62    50.39    12.85    -3.18   103.32    96.34    26.61     0.83
99      2954    41.74    50.34    13.87    -2.07   104.11    93.53    29.22     0.73
100      3031    41.75    50.29    13.14     0.15    95.49    93.34    27.91     1.25
101      3153    41.67    50.13    10.59     0.15    69.45    88.85    11.28     1.04
102      3040    41.64    50.06     9.52     0.15       80    86.18    15.47      0.1
103      2926    41.67    49.97    11.27     0.15    67.75    98.25     7.96     0.52
104      2987    41.66    49.86     9.21     0.15    52.81    80.58    -1.87     0.83
105      3043     41.7    49.69     8.64     0.15    53.45    81.48    -1.73     0.94
106      3153    41.72    49.62     4.98     0.15    45.64    54.83    -3.84     1.46
107      3024    41.68    49.55     0.87     0.15    32.32    30.27    -9.35     1.04
108      2893    41.64    49.48     1.97     0.15     35.7    52.17    -6.73     0.73
109      2943    41.66    49.51     6.16     0.15    58.67    80.84     2.48     1.14
110      2999    41.65    49.43     7.06    -2.62    51.11    72.95    -2.34     -0.1
111      3117     41.6    49.42     1.81     -5.4    51.44    50.48    -3.25    -1.45
112      3007    41.54     49.4     2.36    -8.17    69.68    61.92      4.1    -1.04
113      2893    41.42    49.47    -2.96    -8.17    54.12     40.9     1.51    -1.97
114      2946    41.31    49.44    -3.62    -8.17    41.52    31.74    -4.39    -2.49
115      2999    41.32    49.41     4.72     -5.4    65.11    77.42     5.86    -1.35
116      3117    41.34    49.38     7.94    -2.62    69.79     61.8     7.12        0
117      3014    41.36    49.44     6.01     0.15    62.18    83.71    -1.74    -1.14
118      2906    41.35    49.49     3.26     0.15    54.31    41.01    -6.77      0.1
119      2970    41.37    49.46     2.83     0.15    57.18    53.26    -4.69      0.1
120      3023    41.36    49.52    -0.44     0.15    31.58    38.31   -16.07        0
121      3165    42.13    49.65    15.97     8.48    95.63    95.93    11.34     -0.1
122      3058     42.4    49.62    13.46    16.42    53.04    94.69     -8.4     0.62
123      2942    42.62    49.54    12.44    23.99    38.48    95.31   -19.94     0.62
124      2994    42.76    49.39    11.35    22.91    32.02    93.68   -24.82     -0.1
125      3045    42.79    49.26     9.35    20.53    30.69    87.38    -42.2    -0.31
126      3152    42.78    49.22     8.24    16.95     40.7    84.55   -42.64    -0.83
127      3033    42.88    49.18     9.21    13.55    33.93    99.85   -29.35    -2.08
128      2924    42.93    49.23     9.29     11.7    28.24    98.99   -34.15    -2.91
129      2990    42.86    49.35     7.88    10.08    25.69    92.67   -31.75    -1.87
130      3056    42.74    49.55     7.39     8.61    45.39    94.28   -19.67    -0.62
131      3178    42.51    49.81     6.54     7.29    55.03    87.53    -5.85     0.21
132      3052    42.21    49.97      4.7     6.06    22.91    75.04   -14.54     0.62
133      2924    42.09    50.05     5.62     3.68    55.01    87.48     5.28     1.25
134      2960    41.35    50.04    -3.94      1.3     41.8    40.79     -9.7     0.73
135      2982    40.86    50.15     2.63    -5.11    85.39    58.52    28.85     3.42
136      3102    40.95    50.33    -0.32   -10.66    92.07    65.61    30.83     3.42
137      2983    41.09    50.44     6.35   -14.58    85.82    90.63    26.55     3.42
138      2876    41.25    50.56     9.16   -13.24    86.66    92.11    23.74     0.62
139      2936    41.41    50.69     9.85    -11.6    75.96    93.67    17.47     0.31
140      3010    41.63    50.66    12.72    -9.77     95.9    99.94    19.08     0.41
141      3143     41.8    50.57    13.22    -5.85    87.55    96.03    14.93     0.93
142      3045    41.89    50.42    12.35    -1.93    76.32    97.83    12.33     0.62
143      2927     41.9    50.29     6.27    -2.07    52.71    76.79    -0.59     0.72
144      2976    41.87    50.26     7.14    -6.51    35.82    73.92   -10.79     0.31
145      3019    41.78    50.15     3.09   -10.95    28.76    56.22   -12.45     -0.1
146      3119    41.69    50.26     2.54   -13.17     29.6    63.41   -13.32      0.1
147      2990    41.57    50.24     1.76   -13.17    39.24    60.41    -7.09        0
148      2869    41.45    50.19     3.14   -11.11    52.08    55.81     1.42     -0.1
149      2932    41.49    50.23     8.73    -6.67    82.87    96.18    17.78      0.1
150      3012     41.6    50.26    15.93    -2.22   107.89    95.01    24.39     -0.1
151      3164    41.78    50.29    18.27     2.71   115.76    99.88    31.03    -0.72
152      3084    41.94     50.4    18.15     7.84   118.12    96.65    31.48    -0.93
153      2939    41.56    50.29   -12.07    10.61    30.49    14.31    -1.69    -1.03
154      2969    41.37    50.17   -13.49    13.61    31.78    19.66   -11.13    -1.65
155      3007    41.28    50.03     -8.9    14.04    36.57    30.94    -8.26    -1.24
156      3111    41.23    49.81    -5.45    16.82     35.6    31.06    -9.09    -1.34
157      2996    41.22    49.68    -5.17    16.82    50.32    38.84    -5.66    -1.03
158      2886    41.21    49.48    -5.33    13.82    66.35    34.03     2.29      0.1
159      2958    41.26    49.37    -4.03     8.27    77.22    48.38    10.38     0.41
160      3030    41.34    49.36    -0.78     0.33    72.81    63.89        6     0.41
161      3160     41.4    49.43     1.52     -4.6    73.91    63.89     7.15     0.72
162      3050    41.43     49.5    -1.27    -6.98    65.68    64.61     4.28     3.41
163      2935    41.42    49.64    -6.57    -6.98    62.42    45.18     5.43     3.62
164      2992    41.44    49.68    -5.59    -6.98    61.52    59.31     4.82      3.1
165      3053    41.53    49.93     1.92     -4.6    72.13    85.72    11.42     2.89
166      3175    41.61    50.11     4.29    -2.22    69.53       83      9.7     2.79
167      3074    41.82    50.41    13.26     0.15    79.86      100     4.22     0.72
168      2971    41.93    50.63     9.15     0.15       64    67.59    -4.86     0.21
169      3058    42.12    50.96    17.55     7.84   117.49      100    28.56    -0.52
170      3142    42.21    51.29    16.04    15.53    82.56    95.65    10.18    -0.41
171      3270    42.25    51.54    12.93    23.23     51.7    81.56    -4.21    -0.31
172      3137    42.28    51.62     9.66     20.3    32.51    71.56   -15.63     0.21
173      3000    42.27    51.61      7.9    14.83    24.27    60.87   -19.17     1.24
174      3044    42.27    51.59     4.84     5.05    20.48    64.25   -22.18     1.24
175      3088    42.28     51.5     3.98    -3.87    33.56       61   -19.57     1.03
176      3195    42.27     51.4     2.91   -12.34    31.75       54    -13.8     1.03
177      3069    42.25     51.3     2.63   -18.59    39.02    53.69   -10.18     0.93
178      2951    42.26    51.27     4.68   -22.76    50.54    67.31    -7.92     0.52
179      3014    42.26    51.22     6.62   -23.18    52.03     72.5    -7.12     0.31
180      3081    42.25    51.25     6.44   -19.61       63    76.25     1.18     0.83
181      3203    42.14    51.17     3.23   -13.84    60.42     56.5     3.46     0.72
182      3086    42.03    51.07     0.33    -7.17    63.26       57     5.99     0.62
183      2959    41.84    50.95    -3.47    -2.41    50.52    25.81     6.57        0
184      3045    42.04    50.93     6.01     0.15    57.77    68.47    -6.78     0.62
185      3105    42.12    50.84     7.17     0.15     42.4    68.53   -13.55     0.51
